INT_NO,RUE_1,RUE_2,NO_ARRONDISSEMENT,ARRONDISSEMENT,PERMANENT_OU_TEMPORAIRE,LOC_X,LOC_Y,Longitude,Latitude
17249,"32 e Avenue","Saint-Antoine",15,"Lachine","Permanent",289751.6465,5033330.529,-73.692352,45.439745
5006,"Bellechasse","Saint-Laurent",3,"Rosemont - Petite-Patrie","Permanent",296570.854,5043218.201,-73.605353,45.528832
6379,"Contrecoeur","Sherbrooke",4,"Mercier - Hochelaga - Maisonneuve","Permanent",302766.43,5052437.26,-73.526073,45.611834
7039,"Gouin","Langelier",11,"Montréal-Nord","Permanent",295131.827,5053995.8615,-73.623989,45.625794
7084,"Côte-Sainte-Catherine","Laurier",13,"Outremont","Permanent",297053.219,5041793.5,-73.599155,45.516018
7148,"Côte-Sainte-Catherine","Stuart",13,"Outremont","Permanent",296505.723,5041716.0475,-73.606161,45.515314
7157,"Côte-Sainte-Catherine","Saint-Joseph",13,"Outremont","Permanent",297228.438,5041806.5,-73.596912,45.516137
7195,"Beaubien","Galeries d'Anjou les",10,"Anjou","Permanent",300401.4295,5050581.928,-73.556379,45.595128
7206,"Patricia","Sherbrooke",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",293752.84,5035047.06,-73.641246,45.455266
7782,"Beaubien","Roseraies des",10,"Anjou","Permanent",300505.2835,5050754.2235,-73.555049,45.596679
7828,"Bélanger","Valdombre",12,"Saint-Léonard","Permanent",299240.974,5049383.752,-73.571239,45.584338
8190,"Côte-Sainte-Catherine","Vincent-d'Indy",13,"Outremont","Permanent",295776.344,5041319.5,-73.615489,45.511737
8553,"Galt","LaSalle",17,"Verdun","Permanent",299875.781,5035758.5,-73.562967,45.461738
8830,"Henri-Bourassa","Saint-Michel",11,"Montréal-Nord","Permanent",293069.4895,5049345.872,-73.650326,45.583921
8848,"Dutrisac","Henri-bourassa",14,"Saint-Laurent","Permanent",289738.281,5043166,-73.692824,45.528248
8852,"Garon","Henri-Bourassa",11,"Montréal-Nord","Permanent",293812.68,5050899.8165,-73.640837,45.597916
8883,"Henri-Bourassa","Récollets des",11,"Montréal-Nord","Temporaire",293565.39,5050472.35,-73.643997,45.594065
8891,"Henri-Bourassa","Salk",11,"Montréal-Nord","Permanent",294916.6165,5051620.4535,-73.626701,45.604417
8971,"Jarry","Nice",12,"Saint-Léonard","Permanent",297088.156,5048450,-73.598813,45.575916
8979,"Jarry","Viau",12,"Saint-Léonard","Permanent",297206.3525,5048637.8085,-73.597301,45.577607
9016,"Jean-Talon","Provencher",12,"Saint-Léonard","Temporaire",297974.422,5047912.25,-73.587449,45.571086
9137,"Bombardier","Langelier",12,"Saint-Léonard","Permanent",297484.2325,5051107.7565,-73.593777,45.599835
10039,"L-H-Lafontaine (dir.Sud)","Roseraies des",10,"Anjou","Permanent",300929.6,5050802,-73.54961,45.597112
10100,"Place d'Accueil","Saint-Antoine",15,"Lachine","Permanent",289908,5033334,-73.690353,45.43978
11283,"Bégin","Côte-Vertu",14,"Saint-Laurent","Permanent",288361.8365,5039179.683,-73.710312,45.492347
11682,"Bombardier","Galeries d'Anjou Les",10,"Anjou","Permanent",298054.001,5051869.3925,-73.586484,45.606694
12651,"4 e Avenue / 5 e Avenue","Champlain",17,"Verdun","Permanent",298573.593,5035249.599,-73.579612,45.457148
13146,"Collège","Sainte-Croix",14,"Saint-Laurent","Permanent",291330.656,5041307,-73.672387,45.511553
13281,"Côte-Vertu","Duguay / Hill",14,"Saint-Laurent","Permanent",289344.4545,5040283.986,-73.697775,45.502306
13284,"Côte-Vertu","Grimard",14,"Saint-Laurent","Permanent",291536.609,5043067.0185,-73.669799,45.527394
13285,"Côte-Vertu","Hocquart",14,"Saint-Laurent","Permanent",289196.8315,5040116.2475,-73.699659,45.500794
13291,"Côte-Vertu","Montpellier",14,"Saint-Laurent","Permanent",291215.871,5042361.85,-73.673885,45.521043
13298,"Côte-Vertu","Saint-Amour",14,"Saint-Laurent","Permanent",287496.5225,5038221.6085,-73.721349,45.483705
13332,"Couture","Lacordaire",12,"Saint-Léonard","Permanent",296319.408,5050749.5345,-73.608703,45.596599
17650,"28 e Avenue","Victoria",15,"Lachine","Permanent",290048.31,5032930.5,-73.688548,45.436152
17896,"Place d'Armes Ouest","Saint-Jacques",6,"Ville-Marie","Permanent",300282.63,5040537.21,-73.557809,45.504742
17910,"Henri-Bourassa","Pie-IX",11,"Montréal-Nord","Permanent",293677.6,5050669,-73.642563,45.595837
17911,"Henri-Bourassa","Bretelle d'accès pont Pie IX / Hébert",11,"Montréal-Nord","Permanent",293753.91,5050785.08,-73.641587,45.596882
17926,"Marie-Victorin accès Est","Maurice-Duplessis",9,"Rivières-des-Prairies - Pointe-aux-Trembles","Permanent",296425.25,5053461,-73.607392,45.620998
17936,"Décarie","Accès sud CUSM",7,"Côte-des-Neiges - Notre-Dame-de-Grâce","Permanent",296744.47,5036866.5,-73.603026,45.471679
17939,"Berri","1640 sortie BUS Ilot Voyageur",6,"Ville-Marie","Permanent",299867.44,5041817.98,-73.563135,45.516264
18034,"Lachapelle","Laurentien",1,"Ahuntsic - Cartierville","Permanent",287122.78,5043537,-73.726322,45.531525
18087,"LaSalle","Face au 5685",17,"Verdun","Permanent",299464.8184,5034492.292,-73.568208,45.450341
